Points
(-250.0, -183.269775390625, -170.0358428955078)
(-250.0, -195.4551239013672, -155.8759002685547)
(-234.54127502441406, -178.9740753173828, -174.55165100097656)
(-239.12997436523438, -188.75100708007812, -163.9300537109375)
(-238.55491638183594, -204.0841827392578, -144.39405822753906)
(-234.09091186523438, -196.22265625, -154.90858459472656)
(-227.0176544189453, -189.04087829589844, -163.59567260742188)
(-219.06997680664062, -180.31996154785156, -173.1609344482422)
(-225.56272888183594, -202.1758575439453, -147.0541534423828)
(-222.7460479736328, -196.257080078125, -154.86497497558594)
(-211.3056640625, -191.35194396972656, -160.88638305664062)
(-204.31483459472656, -182.78448486328125, -170.55740356445312)
(-214.55809020996094, -199.07470703125, -151.2258758544922)
(-189.62249755859375, -178.90501403808594, -174.6224365234375)
(-194.90940856933594, -189.4826202392578, -163.08383178710938)
(-199.66741943359375, -199.48428344726562, -150.68516540527344)
(-185.10032653808594, -195.30474853515625, -156.06427001953125)
(-183.94793701171875, -202.6053924560547, -146.46177673339844)
(-250.0, -171.39068603515625, -163.3649444580078)
(-250.0, -157.51333618164062, -170.63836669921875)
(-250.0, -183.2841796875, -156.00784301757812)
(-250.0, -189.68450927734375, -142.35418701171875)
(-250.0, -197.92112731933594, -127.92333221435547)
(-250.0, -158.1540985107422, -154.0457000732422)
(-250.0, -174.36683654785156, -147.01499938964844)
(-250.0, -178.7930450439453, -127.30615234375)
(-250.0, -164.89454650878906, -139.01116943359375)
(-250.0, -158.3975372314453, -126.23153686523438)
(-227.0537872314453, -173.1212615966797, -164.01661682128906)
(-241.14230346679688, -189.54258728027344, -148.15280151367188)
(-237.96804809570312, -177.5191650390625, -156.08624267578125)
(-240.5231475830078, -174.5117950439453, -142.47665405273438)
(-229.7959747314453, -179.96731567382812, -144.94212341308594)
(-229.03663635253906, -187.43112182617188, -151.78712463378906)
(-241.39242553710938, -196.46966552734375, -134.56661987304688)
(-236.2001190185547, -186.38821411132812, -135.46299743652344)
(-232.63157653808594, -194.76913452148438, -139.6372528076172)
(-216.74661254882812, -163.6515350341797, -171.11077880859375)
(-190.43653869628906, -181.8614959716797, -158.46261596679688)
(-193.37353515625, -188.17965698242188, -149.89599609375)
(-198.29681396484375, -172.9717254638672, -152.55667114257812)
(-204.243896484375, -180.62240600585938, -156.50108337402344)
(-188.63926696777344, -165.6166534423828, -173.47076416015625)
(-241.9788818359375, -171.8649139404297, -169.8485107421875)
(-239.59288024902344, -165.6123046875, -160.4774627685547)
(-230.5492706298828, -160.0824432373047, -170.66787719726562)
(-235.67941284179688, -203.45188903808594, -128.4533233642578)
(-230.69720458984375, -192.0852508544922, -125.58592987060547)
(-221.70286560058594, -196.20037841796875, -134.027587890625)
(-220.42408752441406, -183.20480346679688, -138.337646484375)
(-221.12310791015625, -193.21365356445312, -144.02374267578125)
(-230.24362182617188, -169.93031311035156, -152.10354614257812)
(-239.1620330810547, -160.2693328857422, -145.42779541015625)
(-227.56417846679688, -157.0242156982422, -158.07962036132812)
(-219.33326721191406, -183.7383270263672, -154.36581420898438)
(-219.2041473388672, -166.734130859375, -154.87669372558594)
(-228.34786987304688, -175.33143615722656, -133.90733337402344)
(-212.35125732421875, -174.1676025390625, -163.14096069335938)
(-237.7731475830078, -167.10621643066406, -133.39280700683594)
(-211.47210693359375, -192.5194549560547, -128.0364227294922)
(-215.3194580078125, -173.21499633789062, -147.86512756347656)
(-228.10289001464844, -165.40707397460938, -141.8987274169922)
(-228.48977661132812, -155.03350830078125, -146.52249145507812)
(-206.51425170898438, -200.0585174560547, -132.7027130126953)
(-209.38766479492188, -191.11856079101562, -144.75177001953125)
(-229.03298950195312, -159.1824951171875, -130.45872497558594)
(-198.94761657714844, -172.41171264648438, -165.44082641601562)
(-209.48916625976562, -163.01046752929688, -159.08889770507812)
(-202.03648376464844, -189.394775390625, -155.1817169189453)
(-202.85960388183594, -180.0956268310547, -142.3332061767578)
(-184.91685485839844, -165.17431640625, -138.75732421875)
(-193.766845703125, -194.2782745361328, -139.860107421875)
(-214.481689453125, -169.96775817871094, -133.74339294433594)
(-190.3950958251953, -177.17564392089844, -142.5646514892578)
(-204.1868438720703, -188.6074676513672, -132.18533325195312)
(-191.36404418945312, -202.25682067871094, -130.2192840576172)
(-184.31924438476562, -173.81178283691406, -166.67486572265625)
(-185.0719757080078, -163.13186645507812, -164.349853515625)
(-196.81600952148438, -158.69610595703125, -164.08067321777344)
(-187.2082061767578, -169.0628204345703, -155.11056518554688)
(-211.7221221923828, -180.08566284179688, -126.49066925048828)
(-193.69244384765625, -155.8473358154297, -155.8074951171875)
(-199.88076782226562, -178.99842834472656, -127.4238510131836)
(-190.24293518066406, -188.55747985839844, -130.74908447265625)
(-208.2888946533203, -160.95230102539062, -146.1739044189453)
(-200.8110809326172, -168.35218811035156, -138.4222869873047)
(-196.7339630126953, -162.56109619140625, -147.5733642578125)
(-218.0879364013672, -160.16824340820312, -142.02537536621094)
(-188.01002502441406, -172.5057830810547, -132.392822265625)
(-196.18655395507812, -161.80149841308594, -128.85397338867188)
(-206.19284057617188, -158.18536376953125, -135.5683135986328)
(-250.0, -177.8563995361328, -175.44921875)
(-236.1328125, -178.05384826660156, -175.44921875)
(-250.0, -170.6660614013672, -174.01077270507812)
(-250.0, -160.91616821289062, -174.07078552246094)
(-245.3260955810547, -171.1016387939453, -175.44921875)
(-250.0, -204.568603515625, -143.52716064453125)
(-240.91110229492188, -204.59524536132812, -143.65823364257812)
(-250.0, -203.53094482421875, -141.095703125)
(-250.0, -202.7327117919922, -135.10072326660156)
(-248.92886352539062, -204.5079803466797, -141.70655822753906)
(-248.3193817138672, -204.59524536132812, -139.598876953125)
(-250.0, -201.11566162109375, -127.42057037353516)
(-234.82818603515625, -178.03823852539062, -175.44921875)
(-247.47007751464844, -159.5381622314453, -173.9634246826172)
(-240.6884002685547, -170.16465759277344, -175.44921875)
(-232.92971801757812, -162.20379638671875, -175.44921875)
(-233.42111206054688, -178.0535430908203, -175.44921875)
(-238.7892608642578, -204.59524536132812, -143.63156127929688)
(-237.69908142089844, -204.59524536132812, -143.6352996826172)
(-247.7406463623047, -201.5498809814453, -129.56517028808594)
(-241.60826110839844, -204.59524536132812, -134.19442749023438)
(-236.5891876220703, -204.59524536132812, -129.26470947265625)
(-235.87615966796875, -204.5757293701172, -128.01473999023438)
(-220.0871124267578, -177.9912109375, -175.44921875)
(-225.00254821777344, -171.25775146484375, -175.44921875)
(-219.17649841308594, -165.89663696289062, -175.44921875)
(-227.92050170898438, -163.81817626953125, -175.44921875)
(-216.0159149169922, -178.0025634765625, -175.44921875)
(-226.2119598388672, -204.59524536132812, -143.51248168945312)
(-217.01815795898438, -204.59524536132812, -143.64402770996094)
(-229.61404418945312, -204.59524536132812, -136.6532440185547)
(-234.4022979736328, -204.59524536132812, -129.49118041992188)
(-225.279541015625, -204.59524536132812, -134.51473999023438)
(-234.8448028564453, -204.54307556152344, -127.91195678710938)
(-205.25624084472656, -177.90097045898438, -175.44921875)
(-191.40673828125, -178.0608673095703, -175.44921875)
